H|CASH|06DEC2021
H62ABA02271|4001A022756|06DEC2021
H62ABA02272|4001A022757|06DEC2021
H62ABA02273|4001A022758|06DEC2021
H62ABA02274|4001A022759|06DEC2021
H62ABA02275|4001A022750|06DEC2021
H62ABA02276|4001A022751|06DEC2021
H62ABA02272|4001A022756|06DEC2021
H62ABA02272|4001A022757|06DEC2021
H62ABA02272|4001A022758|06DEC2021
H62ABA02272|4001A022759|06DEC2021
H62ABA02272|4001A022750|06DEC2021
H62ABA02272|4001A022751|06DEC2021
H62ABA02273|4001A022756|06DEC2021
H62ABA02273|4001A022757|06DEC2021
H62ABA02273|4001A022758|06DEC2021
H62ABA02273|4001A022759|06DEC2021
H62ABA02273|4001A022750|06DEC2021
H62ABA02275|4001A022751|06DEC2021
T|18
